id,lyrics,is_misogynystic,type_sexualization,type_violence,type_hate,has_gender_stereotype
TRAIN_0001,La canción defiende la libertad y la dignidad de todas las personas,NM,0,0,0,N
TRAIN_0002,La letra presenta a la mujer como un premio o trofeo,M,1,0,0,N
TRAIN_0003,Se describe una relación basada en apoyo mutuo y cariño,NM,0,0,0,N
TRAIN_0004,El texto insiste en mirar su cuerpo sin mencionar su personalidad,M,1,0,0,N
TRAIN_0005,El cantante habla de ella como si fuera un objeto de deseo,M,1,0,0,Y
TRAIN_0006,La canción afirma que las mujeres son inferiores a los hombres,M,0,0,1,N
TRAIN_0007,El texto sugiere que los hombres mandan y las mujeres cuidan,M,0,0,1,Y
TRAIN_0008,La canción normaliza los celos extremos y el control,M,0,1,0,N
TRAIN_0009,El texto dice que una mujer no debería tener ambiciones propias,M,0,0,0,Y
TRAIN_0010,La canción habla de respeto igualdad y confianza en una relación,NM,0,0,0,N
TRAIN_0011,El personaje amenaza a su pareja y controla sus decisiones,M,0,1,0,N
TRAIN_0012,El texto expresa rechazo y desprecio hacia las mujeres,M,0,0,1,N
TRAIN_0013,La canción habla de respeto igualdad y confianza en una relación,NM,0,0,0,N
TRAIN_0014,Se describe una relación basada en apoyo mutuo y cariño,NM,0,0,0,N
TRAIN_0015,El cantante habla de ella como si fuera un objeto de deseo,M,1,0,0,Y
TRAIN_0016,El texto presenta gritos amenazas y dominio sobre una mujer,M,0,1,0,N
TRAIN_0017,La letra celebra que ella estudia trabaja y toma decisiones,NM,0,0,0,N
TRAIN_0018,La canción normaliza los celos extremos y el control,M,0,1,0,Y
TRAIN_0019,El texto usa insultos generalizados contra las mujeres,M,0,0,1,N
TRAIN_0020,La letra afirma que una mujer debe cocinar limpiar y obedecer,M,0,0,0,Y
TRAIN_0021,La canción normaliza los celos extremos y el control,M,0,1,0,Y
TRAIN_0022,La canción afirma que las mujeres son inferiores a los hombres,M,0,0,1,Y
TRAIN_0023,La canción habla de respeto igualdad y confianza en una relación,NM,0,0,0,N
TRAIN_0024,La letra describe una relación con intimidación y miedo,M,0,1,0,Y
TRAIN_0025,La canción normaliza los celos extremos y el control,M,0,1,0,N
TRAIN_0026,La canción repite que una buena mujer debe ser sumisa,M,0,0,0,Y
TRAIN_0027,El texto insiste en mirar su cuerpo sin mencionar su personalidad,M,1,0,0,Y
TRAIN_0028,La letra afirma que una mujer debe cocinar limpiar y obedecer,M,0,0,1,Y
TRAIN_0029,La canción dice que las mujeres deben quedarse en casa,M,0,0,1,Y
TRAIN_0030,La canción reduce su valor a su belleza física,M,1,0,0,N
TRAIN_0031,El texto usa insultos generalizados contra las mujeres,M,0,0,1,N
TRAIN_0032,La letra muestra admiración por su inteligencia y valentía,NM,0,0,0,N
TRAIN_0033,El texto habla de amor sin control ni posesión,NM,0,0,0,N
TRAIN_0034,La letra afirma que una mujer debe cocinar limpiar y obedecer,M,0,0,0,Y
TRAIN_0035,Ella sueña con viajar aprender y construir su futuro,NM,0,0,0,N
TRAIN_0036,La letra afirma que una mujer debe cocinar limpiar y obedecer,M,0,0,0,Y
TRAIN_0037,La letra presenta a la mujer como un premio o trofeo,M,1,0,0,Y
TRAIN_0038,La historia presenta a una mujer fuerte independiente y creativa,NM,0,0,0,N
TRAIN_0039,La canción dice que las mujeres deben quedarse en casa,M,0,0,0,Y
TRAIN_0040,La letra presenta a la mujer como un premio o trofeo,M,1,0,0,N
TRAIN_0041,El texto presenta gritos amenazas y dominio sobre una mujer,M,0,1,0,Y
TRAIN_0042,Ella camina libre y decide su propio camino en la ciudad,NM,0,0,0,N
TRAIN_0043,La letra asocia a las mujeres únicamente con tareas domésticas,M,0,0,0,Y
TRAIN_0044,La letra celebra que ella estudia trabaja y toma decisiones,NM,0,0,0,N
TRAIN_0045,La canción habla de respeto igualdad y confianza en una relación,NM,0,0,0,N
TRAIN_0046,La letra asocia a las mujeres únicamente con tareas domésticas,M,0,0,0,Y
TRAIN_0047,La canción usa lenguaje de posesión sobre el cuerpo de una mujer,M,1,0,0,Y
TRAIN_0048,El texto insiste en mirar su cuerpo sin mencionar su personalidad,M,1,0,0,Y
TRAIN_0049,La canción defiende la libertad y la dignidad de todas las personas,NM,0,0,0,N
TRAIN_0050,La letra desprecia a las mujeres y niega su capacidad,M,0,0,1,Y
TRAIN_0051,El texto presenta gritos amenazas y dominio sobre una mujer,M,0,1,0,Y
TRAIN_0052,La canción reconoce su talento su voz y sus logros personales,NM,0,0,0,N
TRAIN_0053,La canción defiende la libertad y la dignidad de todas las personas,NM,0,0,0,N
TRAIN_0054,El texto presenta gritos amenazas y dominio sobre una mujer,M,0,1,0,N
TRAIN_0055,Ella sueña con viajar aprender y construir su futuro,NM,0,0,0,N
TRAIN_0056,Se describe una relación basada en apoyo mutuo y cariño,NM,0,0,0,N
TRAIN_0057,La historia presenta a una mujer fuerte independiente y creativa,NM,0,0,0,N
TRAIN_0058,Se describe una relación basada en apoyo mutuo y cariño,NM,0,0,0,N
TRAIN_0059,El cantante dice que no acepta que ella termine la relación,M,0,1,0,N
TRAIN_0060,La letra describe una relación con intimidación y miedo,M,0,1,0,N
TRAIN_0061,La canción normaliza los celos extremos y el control,M,0,1,0,N
TRAIN_0062,La canción afirma que las mujeres son inferiores a los hombres,M,0,0,1,Y
TRAIN_0063,El texto insiste en mirar su cuerpo sin mencionar su personalidad,M,1,0,0,Y
TRAIN_0064,La canción dice que las mujeres deben quedarse en casa,M,0,0,0,Y
TRAIN_0065,La letra muestra admiración por su inteligencia y valentía,NM,0,0,0,N
TRAIN_0066,El cantante dice que no acepta que ella termine la relación,M,0,1,0,Y
TRAIN_0067,El texto sugiere que los hombres mandan y las mujeres cuidan,M,0,0,0,Y
TRAIN_0068,El cantante habla de ella como si fuera un objeto de deseo,M,1,0,0,N
TRAIN_0069,La canción reduce su valor a su belleza física,M,1,0,0,Y
TRAIN_0070,La canción normaliza los celos extremos y el control,M,0,1,0,N
TRAIN_0071,El texto presenta gritos amenazas y dominio sobre una mujer,M,0,1,0,Y
TRAIN_0072,La letra muestra admiración por su inteligencia y valentía,NM,0,0,0,N
TRAIN_0073,La canción reduce su valor a su belleza física,M,1,0,0,Y
TRAIN_0074,La letra desprecia a las mujeres y niega su capacidad,M,0,0,1,N
TRAIN_0075,La canción habla de respeto igualdad y confianza en una relación,NM,0,0,0,N
TRAIN_0076,La canción habla de respeto igualdad y confianza en una relación,NM,0,0,0,N
TRAIN_0077,La letra muestra admiración por su inteligencia y valentía,NM,0,0,0,N
TRAIN_0078,La letra celebra que ella estudia trabaja y toma decisiones,NM,0,0,0,N
TRAIN_0079,El texto sugiere que los hombres mandan y las mujeres cuidan,M,0,0,1,Y
TRAIN_0080,La canción defiende la libertad y la dignidad de todas las personas,NM,0,0,0,N
TRAIN_0081,Se describe una relación basada en apoyo mutuo y cariño,NM,0,0,0,N
TRAIN_0082,La historia presenta a una mujer fuerte independiente y creativa,NM,0,0,0,N
TRAIN_0083,La letra afirma que una mujer debe cocinar limpiar y obedecer,M,0,0,1,Y
TRAIN_0084,La letra asocia a las mujeres únicamente con tareas domésticas,M,0,0,1,Y
TRAIN_0085,El texto usa insultos generalizados contra las mujeres,M,0,0,1,Y
TRAIN_0086,La canción habla de respeto igualdad y confianza en una relación,NM,0,0,0,N
TRAIN_0087,El texto expresa rechazo y desprecio hacia las mujeres,M,0,0,1,N
TRAIN_0088,El texto usa insultos generalizados contra las mujeres,M,0,0,1,Y
TRAIN_0089,La letra describe a una mujer únicamente por su cuerpo y apariencia,M,1,0,0,N
